# Binning scheme file
# X_pix  Y_pix  binid
 -9.0000   5.0000     237
 -9.0000   6.0000     254
 -9.0000   7.0000     286
 -9.0000   8.0000     354
 -9.0000   9.0000     429
 -9.0000  10.0000     470
 -9.0000  11.0000     583
 -9.0000  12.0000     583
 -9.0000  13.0000     625
 -9.0000  14.0000     625
 -8.0000 -16.0000     315
 -8.0000 -15.0000     199
 -8.0000 -14.0000     199
 -8.0000 -13.0000     199
 -8.0000 -12.0000     179
 -8.0000 -11.0000     179
 -8.0000 -10.0000     153
 -8.0000  -9.0000     134
 -8.0000  -8.0000      99
 -8.0000  -7.0000      85
 -8.0000  -6.0000      71
 -8.0000  -5.0000      63
 -8.0000  -4.0000      52
 -8.0000  -3.0000      47
 -8.0000  -2.0000      45
 -8.0000  -1.0000      50
 -8.0000   0.0000      55
 -8.0000   1.0000      64
 -8.0000   2.0000      77
 -8.0000   3.0000     113
 -8.0000   4.0000     163
 -8.0000   5.0000     235
 -8.0000   6.0000     253
 -8.0000   7.0000     285
 -8.0000   8.0000     344
 -8.0000   9.0000     408
 -8.0000  10.0000     470
 -8.0000  11.0000     496
 -8.0000  12.0000     596
 -8.0000  13.0000     596
 -8.0000  14.0000     624
 -8.0000  15.0000     624
 -7.0000 -17.0000     315
 -7.0000 -16.0000     315
 -7.0000 -15.0000     202
 -7.0000 -14.0000     202
 -7.0000 -13.0000     193
 -7.0000 -12.0000     180
 -7.0000 -11.0000     180
 -7.0000 -10.0000     154
 -7.0000  -9.0000     132
 -7.0000  -8.0000      95
 -7.0000  -7.0000      80
 -7.0000  -6.0000      65
 -7.0000  -5.0000      49
 -7.0000  -4.0000      41
 -7.0000  -3.0000      36
 -7.0000  -2.0000      32
 -7.0000  -1.0000      33
 -7.0000   0.0000      37
 -7.0000   1.0000      54
 -7.0000   2.0000      68
 -7.0000   3.0000     106
 -7.0000   4.0000     166
 -7.0000   5.0000     238
 -7.0000   6.0000     256
 -7.0000   7.0000     287
 -7.0000   8.0000     340
 -7.0000   9.0000     405
 -7.0000  10.0000     460
 -7.0000  11.0000     496
 -7.0000  12.0000     596
 -7.0000  13.0000     596
 -7.0000  14.0000     624
 -7.0000  15.0000     624
 -7.0000  16.0000     658
 -6.0000 -17.0000     315
 -6.0000 -16.0000     315
 -6.0000 -15.0000     202
 -6.0000 -14.0000     202
 -6.0000 -13.0000     193
 -6.0000 -12.0000     193
 -6.0000 -11.0000     183
 -6.0000 -10.0000     156
 -6.0000  -9.0000     133
 -6.0000  -8.0000      90
 -6.0000  -7.0000      74
 -6.0000  -6.0000      53
 -6.0000  -5.0000      42
 -6.0000  -4.0000      34
 -6.0000  -3.0000      29
 -6.0000  -2.0000      26
 -6.0000  -1.0000      27
 -6.0000   0.0000      30
 -6.0000   1.0000      35
 -6.0000   2.0000      58
 -6.0000   3.0000     104
 -6.0000   4.0000     169
 -6.0000   5.0000     242
 -6.0000   6.0000     264
 -6.0000   7.0000     299
 -6.0000   8.0000     343
 -6.0000   9.0000     403
 -6.0000  10.0000     457
 -6.0000  11.0000     491
 -6.0000  12.0000     576
 -6.0000  13.0000     576
 -6.0000  14.0000     624
 -6.0000  15.0000     658
 -6.0000  16.0000     658
 -5.0000 -17.0000     390
 -5.0000 -16.0000     390
 -5.0000 -15.0000     229
 -5.0000 -14.0000     229
 -5.0000 -13.0000     201
 -5.0000 -12.0000     201
 -5.0000 -11.0000     191
 -5.0000 -10.0000     160
 -5.0000  -9.0000     140
 -5.0000  -8.0000      91
 -5.0000  -7.0000      72
 -5.0000  -6.0000      48
 -5.0000  -5.0000      39
 -5.0000  -4.0000      28
 -5.0000  -3.0000      20
 -5.0000  -2.0000      16
 -5.0000  -1.0000      17
 -5.0000   0.0000      22
 -5.0000   1.0000      31
 -5.0000   2.0000      56
 -5.0000   3.0000     105
 -5.0000   4.0000     219
 -5.0000   5.0000     249
 -5.0000   6.0000     271
 -5.0000   7.0000     306
 -5.0000   8.0000     352
 -5.0000   9.0000     404
 -5.0000  10.0000     455
 -5.0000  11.0000     487
 -5.0000  12.0000     576
 -5.0000  13.0000     616
 -5.0000  14.0000     637
 -5.0000  15.0000     637
 -5.0000  16.0000     658
 -4.0000 -18.0000     390
 -4.0000 -17.0000     390
 -4.0000 -16.0000     390
 -4.0000 -15.0000     229
 -4.0000 -14.0000     289
 -4.0000 -13.0000     206
 -4.0000 -12.0000     206
 -4.0000 -11.0000     195
 -4.0000 -10.0000     188
 -4.0000  -9.0000     142
 -4.0000  -8.0000      96
 -4.0000  -7.0000      81
 -4.0000  -6.0000      46
 -4.0000  -5.0000      38
 -4.0000  -4.0000      21
 -4.0000  -3.0000      14
 -4.0000  -2.0000      11
 -4.0000  -1.0000       9
 -4.0000   0.0000      13
 -4.0000   1.0000      24
 -4.0000   2.0000      57
 -4.0000   3.0000     118
 -4.0000   4.0000     236
 -4.0000   5.0000     251
 -4.0000   6.0000     278
 -4.0000   7.0000     312
 -4.0000   8.0000     356
 -4.0000   9.0000     407
 -4.0000  10.0000     456
 -4.0000  11.0000     488
 -4.0000  12.0000     573
 -4.0000  13.0000     616
 -4.0000  14.0000     637
 -4.0000  15.0000     637
 -4.0000  16.0000     658
 -4.0000  17.0000     658
 -3.0000 -19.0000     525
 -3.0000 -18.0000     525
 -3.0000 -17.0000     374
 -3.0000 -16.0000     374
 -3.0000 -15.0000     289
 -3.0000 -14.0000     289
 -3.0000 -13.0000     214
 -3.0000 -12.0000     214
 -3.0000 -11.0000     204
 -3.0000 -10.0000     194
 -3.0000  -9.0000     189
 -3.0000  -8.0000     141
 -3.0000  -7.0000      87
 -3.0000  -6.0000      51
 -3.0000  -5.0000      40
 -3.0000  -4.0000      18
