# Binning scheme file
# X_pix  Y_pix  binid
 -6.0000   9.0000     398
 -6.0000  10.0000     440
 -6.0000  11.0000     510
 -6.0000  12.0000     555
 -6.0000  13.0000     600
 -5.0000 -14.0000     468
 -5.0000 -13.0000     361
 -5.0000 -12.0000     247
 -5.0000 -11.0000     225
 -5.0000 -10.0000     181
 -5.0000  -9.0000     131
 -5.0000  -8.0000      89
 -5.0000  -7.0000      69
 -5.0000  -6.0000      47
 -5.0000  -5.0000      36
 -5.0000  -4.0000      30
 -5.0000  -3.0000      21
 -5.0000  -2.0000      18
 -5.0000  -1.0000      19
 -5.0000   0.0000      22
 -5.0000   1.0000      28
 -5.0000   2.0000      56
 -5.0000   3.0000     105
 -5.0000   4.0000     154
 -5.0000   5.0000     203
 -5.0000   6.0000     268
 -5.0000   7.0000     298
 -5.0000   8.0000     327
 -5.0000   9.0000     393
 -5.0000  10.0000     436
 -5.0000  11.0000     506
 -5.0000  12.0000     543
 -5.0000  13.0000     598
 -5.0000  14.0000     674
 -4.0000 -17.0000     637
 -4.0000 -16.0000     637
 -4.0000 -15.0000     465
 -4.0000 -14.0000     465
 -4.0000 -13.0000     364
 -4.0000 -12.0000     256
 -4.0000 -11.0000     232
 -4.0000 -10.0000     185
 -4.0000  -9.0000     142
 -4.0000  -8.0000      96
 -4.0000  -7.0000      75
 -4.0000  -6.0000      45
 -4.0000  -5.0000      32
 -4.0000  -4.0000      20
 -4.0000  -3.0000      14
 -4.0000  -2.0000      12
 -4.0000  -1.0000      10
 -4.0000   0.0000      13
 -4.0000   1.0000      24
 -4.0000   2.0000      57
 -4.0000   3.0000     117
 -4.0000   4.0000     159
 -4.0000   5.0000     210
 -4.0000   6.0000     271
 -4.0000   7.0000     303
 -4.0000   8.0000     333
 -4.0000   9.0000     394
 -4.0000  10.0000     434
 -4.0000  11.0000     500
 -4.0000  12.0000     539
 -4.0000  13.0000     592
 -3.0000 -16.0000     637
 -3.0000 -15.0000     634
 -3.0000 -14.0000     466
 -3.0000 -13.0000     367
 -3.0000 -12.0000     290
 -3.0000 -11.0000     242
 -3.0000 -10.0000     222
 -3.0000  -9.0000     179
 -3.0000  -8.0000     127
 -3.0000  -7.0000      79
 -3.0000  -6.0000      50
 -3.0000  -5.0000      33
 -3.0000  -4.0000      16
 -3.0000  -3.0000      11
 -3.0000  -2.0000       7
 -3.0000  -1.0000       6
 -3.0000   0.0000       8
 -3.0000   1.0000      23
 -3.0000   2.0000      59
 -3.0000   3.0000     152
 -3.0000   4.0000     202
 -3.0000   5.0000     259
 -3.0000   6.0000     279
 -3.0000   7.0000     309
 -3.0000   8.0000     337
 -3.0000   9.0000     399
 -3.0000  10.0000     437
 -3.0000  11.0000     499
 -3.0000  12.0000     537
 -3.0000  13.0000     590
 -2.0000 -16.0000     634
 -2.0000 -15.0000     634
 -2.0000 -14.0000     469
 -2.0000 -13.0000     373
 -2.0000 -12.0000     344
 -2.0000 -11.0000     255
 -2.0000 -10.0000     237
 -2.0000  -9.0000     216
 -2.0000  -8.0000     176
 -2.0000  -7.0000     101
 -2.0000  -6.0000      76
 -2.0000  -5.0000      37
