# v        v_err    sigma    sigma_err
 -30.983    7.501  163.463    8.585
  -0.454    2.510  184.575    2.778
 -55.094   43.730  164.563   49.136
 -48.324   25.532  159.244   30.078
 -57.774   36.877  167.531   41.141
 -24.110    7.650  158.654    9.064
 -57.157   53.642  158.959   61.438
 -47.408  101.125  183.413  109.431
 -59.444   77.085  174.369   83.773
 -54.485   28.230  162.880   33.045
 -63.966   69.700  168.725   79.334
 -40.049  131.284  188.180  139.952
 -60.161   67.835  171.539   74.508
 -61.328   72.183  159.095   82.418
 -35.105  131.338  192.529  138.244
 -53.242   80.663  166.438   90.445
 -57.301   57.494  162.782   64.707
 -55.031  110.216  169.634  123.621
 -32.727   45.733  147.502   56.860
 -49.432   78.753  157.896   90.636
 -41.206   63.495  151.144   75.587
 -26.457   38.419  145.039   48.547
  -5.619   10.876  137.651   14.140
 -46.991   70.701  155.191   83.269
 -38.154  127.132  193.573  132.970
  -7.288   18.480  142.266   23.672
  -7.840    9.351  141.864   11.943
 -20.638   34.413  142.365   43.518
  -3.698    6.784  160.689    7.909
 -47.762   74.979  157.952   86.157
 -56.684   90.511  149.918  106.564
 -16.553   23.655  141.893   29.153
  -3.770    6.352  152.197    7.759
  -3.349    2.640  186.628    2.888
 -43.171  138.251  189.985  145.525
 -62.953  108.806  158.618  127.741
 -57.995   82.400  157.324   97.579
 -46.349  124.337  182.292  133.810
 -57.893   39.911  168.033   44.809
 -35.961  173.879  184.410  191.243
 -47.913   98.704  153.309  115.016
 -32.013   15.690  159.928   18.696
 -37.710   21.427  160.168   25.427
 -29.779   11.836  156.502   13.853
 -18.539    3.519  168.986    4.042
 -42.444   23.001  156.450   27.670
 -13.827    2.549  179.788    2.862
 -61.418   78.007  170.334   85.977
 -18.022    6.142  160.012    7.126
 -27.730    9.483  154.846   11.196
 -58.711   76.696  155.329   88.463
 -63.005   77.536  173.069   84.203
 -48.603   26.341  162.775   30.303
 -35.025  190.934  193.609  196.064
 -57.740   88.057  152.736  105.536
 -54.397   37.746  165.067   43.093
 -21.188    7.193  155.141    8.439
  -3.894    2.835  188.283    3.098
 -36.741   63.935  153.603   75.543
 -30.052   53.959  149.681   66.491
 -56.966   94.938  139.499  116.635
 -55.792  117.822  142.804  142.317
  -2.545   16.534  139.453   21.411
  -3.581   10.703  136.211   14.114
 -39.211   85.954  162.137   96.816
 -26.483   43.042  145.204   54.240
   7.970    3.188  177.961    3.563
   7.671    2.605  181.932    2.895
  -8.529   25.936  139.729   32.576
   6.946    5.179  170.716    5.925
  -4.274    8.632  145.119   10.889
 -20.953   38.286  138.548   49.014
   8.563    2.553  186.641    2.814
   3.104    7.647  159.254    8.938
 -14.360    3.563  171.624    4.088
 -13.664    4.355  160.299    5.152
 -50.913   91.397  149.652  107.643
 -42.160  125.448  165.342  138.384
 -17.865   39.307  132.980   50.167
  -1.400   15.637  140.875   20.195
   4.064    3.252  186.314    3.549
  -5.655    2.616  181.807    2.913
   3.367    6.643  155.764    7.898
  -2.565   26.354  139.494   34.074
  -0.194   10.830  140.539   13.994
 -43.614  150.971  168.756  166.616
 -39.840  136.433  189.870  143.456
 -28.727   81.718  148.402  100.602
 -12.410   32.218  132.846   41.340
 -33.693   91.325  157.579  105.854
 -22.678   57.116  138.614   72.757
 -37.647  146.650  166.739  162.146
   3.968    7.826  149.984    9.457
 -20.647   51.070  130.169   68.365
   1.800   24.826  138.504   32.395
   2.468   20.102  144.131   24.966
  12.961    3.793  176.886    4.273
  13.484    4.855  167.295    5.653
   6.796    3.642  185.570    4.005
  14.314    3.524  181.022    3.927
  11.631    5.912  163.193    6.865
  -5.217   27.195  131.741   36.233
 -16.850   55.233  122.790   74.076
   5.837   11.245  145.755   14.208
  13.185    2.856  184.243    3.149
 -14.782    5.325  152.236    6.471
  11.892    6.940  158.141    8.229
  -4.888    3.528  173.641    4.051
  -9.935    4.405  160.594    5.305
 -28.613   20.739  155.939   25.117
 -29.543   14.952  155.285   17.657
  14.580    3.117  186.545    3.427
   3.345    3.000  183.215    3.280
 -30.999   27.899  153.648   34.119
 -27.400   15.241  150.871   18.237
 -11.453    4.877  154.172    5.926
 -38.102   27.335  159.852   32.676
 -20.626    9.768  146.868   11.825
 -61.999   83.804  163.634   94.174
 -64.147   70.092  158.796   81.680
  15.609    3.452  184.457    3.823
  11.737    9.702  152.510   11.665
 -44.034   32.647  155.079   39.269
 -56.504   51.205  160.424   58.503
  -3.667    4.598  164.271    5.448
 -15.149    7.410  148.292    8.968
  19.265    4.428  174.820    5.013
   3.133    3.114  173.577    3.568
  21.873    4.876  181.584    5.407
  18.002    5.144  167.665    5.852
  -6.344    4.386  154.530    5.366
   5.936   37.176  153.189   44.517
  19.958    3.467  184.218    3.829
   4.909   20.347  145.375   25.038
  17.387    6.752  159.164    8.122
  12.147    3.101  178.752    3.438
 -13.602   46.324  123.498   61.762
   0.026   30.682  137.194   40.161
  12.077   12.685  148.581   15.817
  19.060    3.396  182.341    3.755
  17.868    7.315  155.438    8.749
  -9.408    7.359  149.784    8.825
 -29.433   15.607  150.374   18.864
 -28.458   20.619  153.639   25.232
 -28.216   14.956  147.666   18.120
   3.903    4.178  164.600    4.913
  18.684    3.553  184.207    3.913
  -1.159    4.967  159.822    5.921
 -30.404   28.390  155.358   34.459
 -20.541   11.885  142.109   14.818
  11.869    3.735  175.077    4.166
 -52.460   42.740  150.351   52.413
 -66.147   95.480  146.522  113.145
 -31.125   29.611  154.257   36.140
  -2.797    6.222  148.105    7.730
 -13.396    9.859  139.662   12.323
 -61.056   68.009  153.113   79.670
 -65.676   75.482  154.841   89.164
 -39.926   35.006  150.215   43.257
 -53.290   45.985  143.412   56.754
  19.064    3.523  178.396    3.932
  23.852    5.273  181.023    5.850
  22.201    5.468  175.008    6.075
  19.442   10.756  147.291   13.109
  26.234    4.684  183.551    5.180
  22.264    6.777  165.385    7.793
   6.040    5.973  159.083    7.104
  -8.495    8.614  139.840   11.076
  12.056    4.765  165.248    5.435
  26.752    5.503  192.966    5.892
   0.051    6.841  153.376    8.320
  23.317    8.941  156.074   10.588
 -30.814   22.155  148.257   26.955
 -27.834   17.044  144.849   20.921
 -30.369   25.062  150.815   31.063
  19.485    5.103  170.186    5.794
   6.246   36.156  151.985   43.207
   9.723   17.345  145.979   21.281
  25.475    6.108  188.215    6.667
 -22.386   18.096  143.461   22.221
  -2.970    7.694  142.433    9.756
 -28.145   30.849  157.405   37.300
 -48.247   44.095  139.429   57.192
 -13.857   16.351  135.402   20.685
  24.060    8.853  150.389   10.696
  13.097    5.781  158.514    6.727
   7.900    9.445  162.894   11.073
  17.594   12.859  145.134   15.690
  26.458    5.096  183.362    5.637
   6.002   32.679  146.259   40.983
 -10.519   40.805  124.547   56.276
  19.236    5.445  163.141    6.391
  26.332    8.726  178.617    9.781
  23.955    8.281  176.623    9.327
  30.642    6.867  190.746    7.353
   3.137    8.121  147.342   10.150
 -29.338   43.666  155.214   53.033
  -9.027   11.446  136.406   14.477
  24.897    7.793  165.803    8.941
  33.070    6.169  186.975    6.766
  23.611   12.191  142.695   15.094
  24.016    5.411  172.374    6.213
  25.358    8.296  157.527    9.978
  33.317    6.691  186.927    7.361
   7.297   23.149  144.473   28.543
  -4.376   42.032  125.940   57.766
  12.726   18.668  141.208   23.831
 -19.328   54.614  127.118   74.800
 -18.501   77.690  130.838  104.967
   8.871   32.308  148.604   40.013
 -17.139   54.416  121.973   75.666
 -25.753   83.546  149.879  102.943
  21.234   15.178  138.347   19.650
 -19.043   49.291  117.681   69.918
  28.095   10.644  148.931   13.248
   3.656   41.052  138.100   53.200
  18.394    6.000  161.526    6.957
  16.086    8.468  156.604    9.911
  30.798    6.892  178.470    7.761
 -16.018   47.667  118.886   67.214
  22.109    6.201  170.550    7.104
  -5.105   11.013  135.448   14.464
  36.164   12.721  177.015   14.055
  31.731   10.214  171.146   11.733
  27.824   16.462  141.176   21.093
  10.731   29.590  141.018   37.507
  38.256    8.956  183.540    9.748
   9.758    9.158  148.981   11.344
  30.724   10.171  166.850   11.756
   9.990   31.259  146.417   38.046
  18.267   20.893  138.164   26.952
  36.846    8.070  187.240    8.632
  31.388   11.440  155.932   13.752
  30.399    8.852  173.420   10.175
   7.796   42.066  142.413   53.506
  -9.809   51.645  122.004   72.059
  26.867   19.651  136.270   25.720
  36.900    8.501  187.221    9.246
  33.965   12.515  147.729   15.661
 -25.793   20.310  136.849   25.634
 -21.592   21.575  131.938   27.871
   0.807   11.478  137.981   14.848
  18.121    8.095  155.227    9.562
  22.582    8.231  162.134    9.519
 -29.040   31.001  140.057   38.927
 -14.177   22.193  130.920   28.639
  16.364    9.174  150.173   11.312
 -28.792   35.878  147.887   44.789
  37.442    8.981  178.518   10.081
  31.199    9.084  166.388   10.594
  -7.998   15.460  133.922   19.808
 -36.768   46.299  148.675   56.113
   8.412   10.303  142.469   12.798
 -25.909   42.018  151.872   50.130
 -57.602   71.466  136.942   89.363
  -5.868   14.763  129.617   19.849
 -53.595   51.036  128.358   68.376
  46.072   10.961  174.159   12.212
  48.915   10.394  179.653   11.420
  43.249   11.010  168.140   12.732
  39.614   13.221  170.180   15.267
  34.945   18.829  141.367   24.082
  22.116   13.241  156.636   15.610
  48.124   13.179  178.458   14.686
  38.822   13.900  167.933   16.008
  13.515   30.495  141.439   37.696
  20.277   10.087  149.635   12.194
  10.177   31.767  143.388   39.164
  29.600    9.899  170.977   11.288
  21.033   21.497  138.151   27.838
  46.965   13.441  177.667   14.988
  39.171   18.304  162.246   21.665
  -0.922   16.403  130.789   21.885
  13.625   12.440  143.301   15.378
  -0.175   55.059  130.855   73.273
   9.491   45.606  142.209   56.289
  39.202   12.025  167.928   13.915
  30.409   20.428  139.310   26.525
  43.803   11.190  180.484   12.497
  39.767   15.337  150.036   18.975
 -17.560   19.908  122.607   26.765
 -26.188   64.576  153.709   78.049
 -23.184   23.914  126.987   31.449
 -10.254   17.803  120.186   24.158
 -63.046   89.282  145.299  106.844
 -47.023   53.570  134.377   70.358
 -27.593   30.469  135.587   38.793
   3.014   15.746  133.276   20.209
  -6.762   18.051  124.475   24.737
  21.878   12.366  143.219   15.836
  29.419   12.919  156.100   15.258
 -24.452   44.429  145.538   54.071
  18.937   15.700  148.709   18.999
  42.419   12.177  173.449   13.834
  -3.983   16.623  123.914   22.831
  37.818   11.643  165.587   13.206
  57.965   14.780  168.861   16.859
  58.881   13.176  175.929   14.593
  52.556   14.593  159.968   17.424
  56.674   14.594  181.927   15.894
  11.051   17.520  136.326   22.294
  45.881   16.299  159.673   19.237
  39.618   19.623  147.127   24.066
  52.527   14.947  184.549   16.137
  16.564   27.712  142.149   35.211
  11.592   39.144  141.688   48.530
  43.086   13.190  168.723   15.129
  -2.119   18.658  123.922   25.595
  24.032   26.962  143.779   34.099
  41.788   19.133  156.046   23.045
   6.391   55.061  135.801   69.430
 -21.459   69.298  119.328   97.217
 -26.432   68.290  114.720   96.862
  10.617   47.011  142.614   58.152
 -16.669   77.571  125.673  106.503
 -21.244   66.861  114.610   95.139
  44.516   15.137  183.442   16.266
  26.132   15.837  148.926   19.186
  35.883   23.930  146.342   29.459
  42.606   20.161  150.862   24.772
  36.321   14.449  155.565   16.989
  21.953   15.362  141.297   19.771
 -15.529   77.882  118.809  110.178
   7.439   53.937  137.333   67.785
 -33.417   56.338  145.319   70.897
 -22.490   58.758  150.481   71.561
  43.561   17.905  178.290   19.563
  45.293   17.641  168.693   19.657
  69.210   18.975  162.391   22.576
  16.341   48.197  144.235   59.209
  65.334   17.695  172.126   20.202
  20.943   40.236  147.086   50.125
  59.593   17.698  157.036   20.944
  19.808   19.861  139.173   24.869
  59.076   22.143  180.355   24.136
  44.296   26.600  150.598   32.116
   0.696   23.566  130.811   31.335
  48.440   23.978  153.447   28.233
  11.892   65.250  139.465   81.879
  30.996   32.377  148.773   40.305
  -5.223  115.389  125.082  157.247
  53.803   22.800  185.062   24.312
  40.909   29.971  150.933   35.588
  45.124   17.439  167.766   19.993
  33.866   18.811  148.439   22.993
  -8.232   23.288  118.396   32.710
 -13.372   29.623  119.659   41.305
  24.620   21.791  139.002   28.549
  -4.447   26.282  112.093   38.753
  51.332   20.707  180.075   22.641
  45.895   23.635  158.988   27.344
   7.611   23.492  133.321   29.999
 -20.263   38.536  126.127   50.634
  -1.602   24.859  117.393   35.330
  22.430   19.100  136.359   25.098
  43.977   34.028  153.870   41.433
 -23.675   39.165  132.133   50.490
  42.638   26.863  151.173   32.791
  49.931   21.177  164.085   24.043
  48.780   26.487  174.236   29.073
  -1.973   24.849  123.144   33.292
 -26.292   61.938  152.646   74.602
   8.177   53.857  137.430   68.185
  16.320   22.223  137.085   28.921
 -53.345   87.740  120.606  122.360
 -52.349   70.959  124.113   94.378
 -25.651   70.040  141.723   86.327
 -69.574  123.823  145.423  150.862
 -43.040   64.781  134.014   85.402
 -60.445   80.779  157.216   95.329
  -0.034   35.909  123.957   49.289
 -43.600  121.520  134.727  154.800
  30.926   28.222  140.161   37.060
  44.535   21.393  146.465   26.296
  24.397   24.728  134.557   33.151
  71.352   22.889  165.163   26.896
  68.873   20.581  157.414   24.876
  68.272   33.008  168.572   38.201
  62.855   21.492  152.124   26.462
  47.950   23.513  165.837   26.644
 -23.907  103.299  151.965  121.326
 -32.473   60.383  147.171   74.274
  52.320   22.987  155.399   26.973
  -7.788   38.154  123.893   52.490
   6.986   33.680  128.713   44.725
 -12.561   39.303  124.410   53.774
  -3.541   35.072  121.564   49.440
  21.916   27.752  138.012   36.420
  62.837   33.493  175.416   37.582
 -16.627   43.937  129.921   58.837
   0.805   31.713  124.550   42.405
  53.765   31.982  152.365   37.978
  56.062   26.388  177.506   29.082
  48.361   31.301  153.452   37.914
  22.083   49.587  146.925   60.586
  29.771   50.896  151.640   62.129
  49.739   27.796  157.884   32.965
   3.753   31.959  119.842   43.308
  42.530   25.822  136.182   33.593
  33.531   30.867  134.318   42.055
  14.583   29.452  132.390   38.862
 -21.666   51.393  138.198   64.727
  45.969   41.806  150.032   49.957
  51.267   25.530  172.701   28.579
  42.182   40.865  150.318   50.148
  53.031   24.330  142.936   30.071
  19.130   76.537  139.839   96.296
   7.503   72.526  133.327   93.708
  26.090   29.293  137.194   39.020
   4.666   32.343  119.726   44.504
 -26.039   84.250  149.923   99.268
  51.001   37.399  151.631   44.826
  45.295   35.358  152.082   41.996
  53.180   29.793  152.259   35.408
  51.340   28.735  165.251   33.286
  77.370   27.578  164.195   32.456
  73.805   32.259  160.156   38.502
  76.731   30.789  167.476   35.694
   7.587   76.755  133.645   98.480
  66.450   32.381  153.172   39.925
  73.191   32.330  170.762   37.027
  21.882   44.794  141.654   57.997
  32.342   54.961  150.383   65.545
  39.432   55.854  149.180   68.576
  59.589   34.364  150.490   42.690
  47.655   40.600  155.625   47.661
  65.540   34.197  171.077   39.397
  41.233   32.015  133.293   43.618
   9.903   32.437  124.055   44.857
  51.510   32.883  134.346   42.537
  53.242   41.166  159.736   48.414
  31.053   32.875  137.482   44.050
 -23.896   99.323  151.976  122.700
  58.827   29.779  138.855   36.932
 -37.847   99.345  119.442  135.616
 -42.031   88.975  135.889  111.720
  -8.424   75.928  133.374  101.106
   4.115   51.773  130.207   65.617
 -11.136   75.929  138.847   97.883
  19.988   34.127  126.708   46.739
 -25.345  126.722  152.141  149.384
  27.180   45.586  140.107   59.686
   8.559   48.767  122.857   63.442
 -31.072  103.498  150.566  122.480
 -14.357   70.793  142.763   88.765
  60.503   37.879  169.456   43.502
 -16.674   96.437  149.584  117.058
  56.391   44.994  152.599   52.919
  22.894   44.351  133.889   58.736
  50.879   36.211  126.998   50.186
  38.914   46.117  133.029   61.479
  53.001   38.729  149.821   46.408
  57.786   35.147  162.265   41.362
  50.065   58.454  148.663   71.840
  61.379   40.117  125.878   53.220
  13.776   44.090  120.562   60.740
  28.576   47.656  132.007   64.987
  85.260   38.361  162.583   45.322
  86.174   33.314  157.491   40.039
  79.380   37.683  163.054   44.329
  84.020   41.566  156.466   50.012
  58.863   41.557  156.840   49.513
  61.809   35.331  140.548   43.161
  52.650   42.556  151.066   50.841
  51.706   50.320  153.374   60.588
  73.916   41.346  167.578   48.010
  74.808   42.496  156.363   51.144
  25.500   55.844  133.005   74.651
  18.160   55.684  124.051   74.083
  11.322  108.218  133.063  138.838
  10.765  108.616  125.378  144.743
  65.760   51.145  169.754   58.728
  67.939   47.529  154.714   57.802
  49.482   52.995  126.855   72.131
  60.972   46.822  125.389   62.379
  63.032   45.782  153.187   54.379
  39.658   71.335  147.734   85.441
  53.568   61.630  158.854   71.299
  48.950   89.765  141.768  112.576
  34.951   82.540  129.804  111.623
 -26.823  100.727  113.689  143.196
  -7.544  173.580  125.710  239.927
  34.110   87.182  145.815  106.756
 -17.165   95.141  115.014  139.111
  55.290   67.103  146.337   82.648
   6.874   96.307  137.691  121.368
  62.519   55.342  152.660   66.602
  62.789   42.848  162.529   50.583
  55.638   70.641  151.159   85.798
   3.218  113.881  131.280  148.392
  56.116   53.928  153.388   63.831
  67.589   39.743  131.656   50.737
  93.545   51.945  156.223   61.767
  92.879   57.969  153.585   70.309
  86.979   59.474  159.118   70.685
  47.093   92.312  140.957  116.096
  42.451  113.650  141.703  139.918
  81.972   59.720  162.641   69.469
  81.109   70.515  164.165   82.052
  56.267   94.579  140.769  119.764
  62.398   51.728  157.114   61.221
  68.837   42.429  145.744   52.944
  71.592   63.003  164.818   72.745
  58.460   72.550  157.009   84.341
  76.854   75.430  160.548   89.125
  55.703   71.593  147.169   88.312
  26.325   71.473  127.230   99.379
  25.394   60.714  124.616   82.164
  64.383   63.306  164.080   73.683
  71.658   90.431  154.823  107.437
  52.601   77.463  134.491  102.798
  70.769   50.429  151.332   61.831
  60.690   62.399  132.692   80.357
  63.614   64.341  161.522   75.954
  55.517   81.460  154.528   95.394
  71.545   59.592  137.468   74.483
  25.232   88.559  124.809  120.326
  61.092   83.824  152.892   99.009
  52.594   99.390  142.208  125.796
  94.761   62.819  154.869   75.000
  -9.738  121.549  151.853  146.882
  77.022   51.969  148.078   64.140
  70.843   80.148  153.060   95.946
  54.356  106.593  154.678  125.618
  58.045  112.006  142.277  140.531
  56.799  120.690  135.635  158.183
  69.248   80.622  138.333   99.161
  81.566   81.138  143.959  100.306
  39.761   80.962  126.048  114.726
  74.586   80.284  154.962   94.957
  82.254   78.580  142.849   99.105
  52.404  116.780  149.917  142.173
 -20.928  130.946  141.125  179.198
  85.250   74.278  144.611   93.058
  90.080   62.784  159.460   73.264
  74.515   77.176  150.014   94.658
  80.088   89.456  142.656  112.072
  84.877   95.163  143.564  116.836
  71.810   73.197  153.276   86.914
 -54.274  103.106  138.924  127.986
  89.509  140.361  144.384  168.336
