# v        v_err    sigma    sigma_err
  -9.583    2.345  182.748    2.606
  -8.724    2.611  183.702    2.889
 -15.471    2.720  180.490    3.037
 -18.040    2.870  183.659    3.191
 -14.432    3.192  180.406    3.584
  -5.725    3.334  179.511    3.742
 -22.893    3.793  180.858    4.258
 -20.823    4.879  179.633    5.489
 -25.450    3.150  182.280    3.528
 -10.526    3.467  178.639    3.880
 -30.310    5.621  183.096    6.235
 -17.984    4.575  176.660    5.152
 -28.148    7.487  183.157    8.247
 -28.988    3.985  178.058    4.517
 -27.520    6.292  177.510    7.095
  -5.491    3.365  176.467    3.773
 -19.018    5.352  161.862    6.406
 -10.927    4.710  168.508    5.499
 -31.518    6.700  177.932    7.346
 -31.707    6.034  176.800    6.795
 -23.718    6.208  168.093    7.227
 -30.964    6.913  173.420    7.836
 -35.186    6.203  177.671    6.965
 -26.781    3.502  180.645    3.930
 -29.419    4.058  175.021    4.625
 -19.384    3.189  178.854    3.612
 -36.311    7.954  175.638    8.782
 -33.909    8.699  174.529    9.641
 -35.600    6.593  176.506    7.455
 -40.509    7.451  176.168    8.234
 -29.113    8.829  168.151   10.216
 -34.621    8.047  172.076    9.008
 -19.282    7.486  159.803    8.921
 -15.628    6.724  159.796    8.038
 -33.992   11.250  163.026   13.323
  -5.262    3.883  167.579    4.517
 -25.820   10.769  158.728   12.947
 -11.358    6.471  155.447    7.877
 -43.667   12.414  175.252   13.705
 -43.732   11.512  175.524   12.720
 -43.707   11.351  170.226   12.713
 -43.801    8.486  174.965    9.557
 -46.211   10.502  175.407   11.621
 -32.224   11.939  161.821   14.189
 -40.970   14.114  165.582   16.445
 -16.000   11.251  153.892   13.767
 -51.933   12.912  173.470   14.339
 -22.460   12.100  157.235   14.521
 -49.438   15.920  173.919   17.556
 -38.602   15.042  161.509   17.853
 -11.881    8.407  153.244   10.241
 -50.976   13.323  176.824   14.590
 -30.205   13.147  156.820   15.887
 -47.804   21.861  163.396   25.737
 -48.726   11.530  171.888   13.150
 -49.906   15.634  170.445   17.501
 -35.258    6.228  171.774    7.115
 -30.505    4.536  171.976    5.209
 -42.148    7.453  172.278    8.462
 -25.348    3.525  173.645    4.023
 -57.452   19.894  172.931   22.058
 -56.631   19.014  172.917   21.048
 -55.724   20.354  168.279   23.321
 -50.663   18.259  174.108   20.251
 -45.177   22.570  160.758   26.288
 -38.741   17.296  155.332   20.926
 -54.868   26.544  163.693   31.158
 -48.466   10.406  171.164   11.933
 -54.900   17.386  171.218   19.434
 -20.614   15.905  151.295   19.536
 -44.351   20.720  154.636   24.710
 -48.984   25.100  158.929   30.035
 -60.204   27.902  170.093   31.301
 -27.933   17.969  149.674   22.085
 -55.653   25.559  170.721   28.139
 -13.967   18.473  149.675   23.125
  -9.145    6.398  149.582    7.915
  -5.099    5.162  154.362    6.372
 -39.355   23.061  147.918   28.708
  -9.180   12.565  141.389   16.012
 -59.234   23.740  168.530   26.703
 -50.898   28.848  166.478   33.268
 -52.158   19.497  167.641   21.957
 -46.467   28.001  156.517   32.666
 -49.260   15.679  167.046   17.785
 -56.147   19.483  165.725   22.135
 -43.768   22.605  152.623   27.564
 -49.390   28.978  162.512   33.879
 -28.732   19.531  149.773   24.228
 -21.094   17.982  146.673   22.525
 -54.662   33.664  169.058   37.571
 -60.636   32.671  170.598   36.269
 -47.088   33.381  154.548   39.549
 -51.333   39.288  164.140   44.485
 -36.186   24.927  151.729   30.261
 -51.810   40.942  167.851   45.850
 -13.939   17.728  147.489   22.250
 -60.132   30.223  168.078   34.063
 -43.322   30.998  150.121   38.027
 -48.981   43.351  175.325   48.271
 -51.539   21.617  162.221   24.850
  -7.909    8.789  141.997   11.351
 -50.312   17.202  165.810   19.577
 -56.296   26.915  159.990   31.343
 -40.281    9.243  167.771   10.658
 -33.369    6.593  165.703    7.690
 -45.384   12.356  166.001   14.387
 -50.439   51.925  165.577   58.828
 -50.687   52.396  170.771   59.476
 -53.463   47.658  173.986   52.273
 -59.392   57.670  170.242   64.209
 -49.150   54.578  179.155   59.677
 -48.065   38.025  155.354   44.701
 -47.979   14.411  164.682   16.626
 -63.097   51.729  163.680   58.984
 -51.571   20.608  160.924   23.756
 -52.484   30.310  158.844   35.234
 -28.135    6.648  163.493    7.751
 -49.302   58.873  178.697   65.033
 -50.681   20.979  159.796   24.640
 -59.131   35.045  159.031   40.915
 -54.034   62.000  173.228   70.022
 -52.276   32.430  164.797   36.336
 -20.115    2.994  173.077    3.439
 -34.680   35.894  151.034   43.917
 -28.859   30.686  153.065   37.504
 -51.479   47.964  161.626   55.083
  -7.709   13.584  141.110   17.439
 -49.906   95.434  187.214  103.223
  -7.077    6.309  150.182    7.837
 -41.970   51.224  152.749   62.226
 -20.254   25.140  145.913   31.372
 -52.598   66.143  176.733   71.404
 -59.985   76.725  175.537   82.920
 -44.568   79.311  184.515   83.835
 -56.072   35.709  160.475   41.116
 -63.953   69.948  171.375   77.301
 -50.549   62.067  154.049   73.555
 -42.309   85.989  187.741   92.004
 -51.319   63.314  166.950   71.261
 -53.848  111.134  179.413  122.254
 -54.987   26.167  159.818   30.180
 -13.961   19.087  145.036   24.111
 -60.225   47.182  159.604   54.537
 -49.909   59.214  157.046   68.771
 -48.447  129.524  192.201  137.404
 -38.424   14.733  161.965   17.340
   2.717    3.210  176.265    3.630
 -34.707   11.445  162.877   13.437
 -42.663   16.622  161.964   19.453
   2.898    3.116  181.312    3.464
   0.130    4.514  169.946    5.192
 -22.763    5.061  166.783    5.854
 -11.589    2.501  184.205    2.725
