# Binning scheme file
# X_pix  Y_pix  binid
-21.0000  -6.0000     770
-21.0000  -1.0000     357
-20.0000  -9.0000     763
-20.0000  -8.0000     764
-20.0000  -7.0000     764
-20.0000  -6.0000     762
-20.0000  -5.0000     762
-20.0000  -4.0000     362
-20.0000  -3.0000     362
-20.0000  -2.0000     357
-20.0000  -1.0000     357
-20.0000   4.0000     310
-20.0000   9.0000     266
-19.0000 -10.0000     768
-19.0000  -9.0000     763
-19.0000  -8.0000     760
-19.0000  -7.0000     758
-19.0000  -6.0000     721
-19.0000  -5.0000     721
-19.0000  -4.0000     362
-19.0000  -3.0000     362
-19.0000  -2.0000     316
-19.0000  -1.0000     357
-19.0000   0.0000     315
-19.0000   1.0000     319
-19.0000   2.0000     319
-19.0000   3.0000     319
-19.0000   4.0000     310
-19.0000   5.0000     310
-19.0000   6.0000     310
-19.0000   7.0000     266
-19.0000   8.0000     266
-19.0000   9.0000     266
-19.0000  10.0000     266
-19.0000  11.0000     290
-19.0000  12.0000     290
-18.0000 -11.0000     765
-18.0000 -10.0000     761
-18.0000  -9.0000     756
-18.0000  -8.0000     725
-18.0000  -7.0000     704
-18.0000  -6.0000     363
-18.0000  -5.0000     358
-18.0000  -4.0000     333
-18.0000  -3.0000     318
-18.0000  -2.0000     316
-18.0000  -1.0000     315
-18.0000   0.0000     315
-18.0000   1.0000     319
-18.0000   2.0000     319
-18.0000   3.0000     319
-18.0000   4.0000     310
-18.0000   5.0000     310
-18.0000   6.0000     310
-18.0000   7.0000     266
-18.0000   8.0000     266
-18.0000   9.0000     266
-18.0000  10.0000     266
-18.0000  11.0000     290
-18.0000  12.0000     290
-17.0000 -13.0000     769
-17.0000 -12.0000     757
-17.0000 -11.0000     757
-17.0000 -10.0000     736
-17.0000  -9.0000     720
-17.0000  -8.0000     633
-17.0000  -7.0000     361
-17.0000  -6.0000     317
-17.0000  -5.0000     289
-17.0000  -4.0000     282
-17.0000  -3.0000     277
-17.0000  -2.0000     276
-17.0000  -1.0000     280
-17.0000   0.0000     285
-17.0000   1.0000     291
-17.0000   2.0000     291
-17.0000   3.0000     279
-17.0000   4.0000     310
-17.0000   5.0000     310
-17.0000   6.0000     266
-17.0000   7.0000     266
-17.0000   8.0000     266
-17.0000   9.0000     266
-17.0000  10.0000     290
-17.0000  11.0000     290
-17.0000  12.0000     290
-17.0000  13.0000     290
-17.0000  14.0000     290
-16.0000 -12.0000     757
-16.0000 -11.0000     724
-16.0000 -10.0000     703
-16.0000  -9.0000     631
-16.0000  -8.0000     359
-16.0000  -7.0000     284
-16.0000  -6.0000     269
-16.0000  -5.0000     259
-16.0000  -4.0000     251
-16.0000  -3.0000     248
-16.0000  -2.0000     249
-16.0000  -1.0000     255
-16.0000   0.0000     255
-16.0000   1.0000     267
-16.0000   2.0000     279
-16.0000   3.0000     279
-16.0000   4.0000     268
-16.0000   5.0000     268
-16.0000   6.0000     266
-16.0000   7.0000     266
-16.0000   8.0000     266
-16.0000   9.0000     266
-16.0000  10.0000     290
-16.0000  11.0000     290
-16.0000  12.0000     290
-16.0000  13.0000     290
-15.0000 -13.0000     755
-15.0000 -12.0000     722
-15.0000 -11.0000     701
-15.0000 -10.0000     630
-15.0000  -9.0000     360
-15.0000  -8.0000     272
-15.0000  -7.0000     250
-15.0000  -6.0000     240
