# Binning scheme file
# X_pix  Y_pix  binid
 -2.0000   2.5000     131
 -2.0000   3.0000     173
 -2.0000   3.5000     196
 -2.0000   4.0000     216
 -2.0000   4.5000     216
 -2.0000   5.0000     218
 -2.0000   5.5000     233
 -2.0000   6.0000     233
 -2.0000   6.5000     233
 -1.5000  -7.0000      85
 -1.5000  -6.5000      85
 -1.5000  -6.0000      85
 -1.5000  -5.5000      85
 -1.5000  -5.0000      64
 -1.5000  -4.5000      64
 -1.5000  -4.0000      60
 -1.5000  -3.5000      60
 -1.5000  -3.0000      36
 -1.5000  -2.5000      21
 -1.5000  -2.0000      14
 -1.5000  -1.5000      11
 -1.5000  -1.0000       9
 -1.5000  -0.5000      13
 -1.5000   0.0000      24
 -1.5000   0.5000      49
 -1.5000   1.0000      93
 -1.5000   1.5000     106
 -1.5000   2.0000     121
 -1.5000   2.5000     136
 -1.5000   3.0000     176
 -1.5000   3.5000     196
 -1.5000   4.0000     216
 -1.5000   4.5000     216
 -1.5000   5.0000     233
 -1.5000   5.5000     233
 -1.5000   6.0000     233
 -1.5000   6.5000     233
 -1.5000   7.0000     233
 -1.0000  -7.0000      85
 -1.0000  -6.5000      85
 -1.0000  -6.0000      85
 -1.0000  -5.5000      85
 -1.0000  -5.0000      86
 -1.0000  -4.5000      86
 -1.0000  -4.0000      62
 -1.0000  -3.5000      62
 -1.0000  -3.0000      40
 -1.0000  -2.5000      18
 -1.0000  -2.0000      12
 -1.0000  -1.5000       7
 -1.0000  -1.0000       4
 -1.0000  -0.5000       5
 -1.0000   0.0000      23
 -1.0000   0.5000      51
 -1.0000   1.0000     104
 -1.0000   1.5000     113
 -1.0000   2.0000     127
 -1.0000   2.5000     158
 -1.0000   3.0000     180
 -1.0000   3.5000     199
 -1.0000   4.0000     199
 -1.0000   4.5000     221
 -1.0000   5.0000     221
 -1.0000   5.5000     233
 -1.0000   6.0000     233
 -1.0000   6.5000     233
 -1.0000   7.0000     233
 -0.5000  -7.0000      85
 -0.5000  -6.5000      85
 -0.5000  -6.0000      85
 -0.5000  -5.5000      86
 -0.5000  -5.0000      86
 -0.5000  -4.5000      86
 -0.5000  -4.0000      66
 -0.5000  -3.5000      66
 -0.5000  -3.0000      63
 -0.5000  -2.5000      19
 -0.5000  -2.0000      10
 -0.5000  -1.5000       6
 -0.5000  -1.0000       2
 -0.5000  -0.5000       1
 -0.5000   0.0000      25
 -0.5000   0.5000      96
 -0.5000   1.0000     108
 -0.5000   1.5000     123
 -0.5000   2.0000     135
 -0.5000   2.5000     161
 -0.5000   3.0000     182
 -0.5000   3.5000     203
 -0.5000   4.0000     221
 -0.5000   4.5000     221
 -0.5000   5.0000     221
 -0.5000   5.5000     252
 -0.5000   6.0000     252
 -0.5000   6.5000     252
 -0.5000   7.0000     252
  0.0000  -7.0000     143
  0.0000  -6.5000     143
  0.0000  -6.0000     143
  0.0000  -5.5000     143
  0.0000  -5.0000      86
  0.0000  -4.5000      88
  0.0000  -4.0000      88
  0.0000  -3.5000      87
  0.0000  -3.0000      67
  0.0000  -2.5000      65
  0.0000  -2.0000      15
  0.0000  -1.5000       8
  0.0000  -1.0000       3
  0.0000  -0.5000       0
  0.0000   0.0000      97
  0.0000   0.5000     109
  0.0000   1.0000     120
  0.0000   1.5000     133
  0.0000   2.0000     156
  0.0000   2.5000     172
  0.0000   3.0000     192
  0.0000   3.5000     211
  0.0000   4.0000     225
  0.0000   4.5000     225
  0.0000   5.0000     225
  0.0000   5.5000     252
  0.0000   6.0000     252
  0.0000   6.5000     252
  0.0000   7.0000     252
  0.5000  -6.5000     143
  0.5000  -6.0000     143
  0.5000  -5.5000     143
  0.5000  -5.0000     143
  0.5000  -4.5000      88
  0.5000  -4.0000      88
  0.5000  -3.5000      94
  0.5000  -3.0000      91
  0.5000  -2.5000      89
  0.5000  -2.0000      90
  0.5000  -1.5000      92
  0.5000  -1.0000      95
  0.5000  -0.5000     107
  0.5000   0.0000     115
  0.5000   0.5000     124
  0.5000   1.0000     134
  0.5000   1.5000     152
  0.5000   2.0000     163
  0.5000   2.5000     181
  0.5000   3.0000     197
  0.5000   3.5000     215
  0.5000   4.0000     229
  0.5000   4.5000     229
  0.5000   5.0000     229
  0.5000   5.5000     255
  0.5000   6.0000     252
  0.5000   6.5000     252
  0.5000   7.0000     252
  1.0000  -6.0000     143
  1.0000  -5.5000     143
  1.0000  -5.0000     144
  1.0000  -4.5000     144
  1.0000  -4.0000     144
  1.0000  -3.5000      94
  1.0000  -3.0000     126
  1.0000  -2.5000     118
  1.0000  -2.0000     116
  1.0000  -1.5000     117
  1.0000  -1.0000     119
  1.0000  -0.5000     125
  1.0000   0.0000     132
  1.0000   0.5000     138
  1.0000   1.0000     151
  1.0000   1.5000     160
  1.0000   2.0000     177
  1.0000   2.5000     193
  1.0000   3.0000     209
  1.0000   3.5000     223
  1.0000   4.0000     234
  1.0000   4.5000     234
  1.0000   5.0000     234
  1.0000   5.5000     255
  1.0000   6.0000     255
  1.0000   6.5000     255
  1.5000  -6.0000     143
  1.5000  -5.5000     143
  1.5000  -5.0000     144
  1.5000  -4.5000     144
  1.5000  -4.0000     144
  1.5000  -3.5000     146
  1.5000  -3.0000     145
  1.5000  -2.5000     141
  1.5000  -2.0000     139
  1.5000  -1.5000     137
  1.5000  -1.0000     140
  1.5000  -0.5000     142
  1.5000   0.0000     147
  1.5000   0.5000     155
  1.5000   1.0000     162
  1.5000   1.5000     174
  1.5000   2.0000     189
  1.5000   2.5000     202
  1.5000   3.0000     219
  1.5000   3.5000     230
  1.5000   4.0000     230
  1.5000   4.5000     234
  1.5000   5.0000     234
  1.5000   5.5000     255
  1.5000   6.0000     255
  1.5000   6.5000     255
  2.0000  -6.0000     166
  2.0000  -5.5000     166
  2.0000  -5.0000     166
  2.0000  -4.5000     166
  2.0000  -4.0000     146
  2.0000  -3.5000     146
  2.0000  -3.0000     154
  2.0000  -2.5000     150
  2.0000  -2.0000     148
  2.0000  -1.5000     149
  2.0000  -1.0000     153
  2.0000  -0.5000     157
  2.0000   0.0000     159
  2.0000   0.5000     170
  2.0000   1.0000     179
  2.0000   1.5000     190
  2.0000   2.0000     201
  2.0000   2.5000     217
  2.0000   3.0000     227
  2.0000   3.5000     227
  2.0000   4.0000     250
  2.0000   4.5000     250
  2.0000   5.0000     260
  2.0000   5.5000     255
  2.5000  -5.5000     166
  2.5000  -5.0000     166
  2.5000  -4.5000     166
  2.5000  -4.0000     169
  2.5000  -3.5000     169
  2.5000  -3.0000     154
  2.5000  -2.5000     167
  2.5000  -2.0000     164
