# v        v_err    sigma    sigma_err
  11.332    3.924   69.357    7.483
   8.864    3.651   71.191    6.931
  19.538    9.824   75.135   17.134
  24.214   17.674   69.253   33.346
  14.668    5.194   66.920   10.395
 -12.251   18.758   76.783   33.493
   6.835    5.000   72.286    9.419
 -19.653   25.735   71.055   49.168
  18.855    7.309   72.238   13.637
  -4.217   17.073   77.451   31.070
  16.920    4.764   69.114    9.219
   6.790    5.999   70.015   11.644
  29.502   23.006   66.369   46.289
  19.599   45.935   61.926   94.834
  26.851   34.907   58.489   76.773
  12.852   51.463   60.277  105.002
  31.196   32.370   62.614   68.522
   9.483   63.489   55.900  150.795
  18.818    6.301   69.493   12.081
  25.070   12.134   67.590   23.736
  20.321    9.095   69.735   16.960
  29.149   23.285   66.048   47.118
  33.888   38.416   63.546   80.444
   2.260   10.316   68.104   20.604
 -25.590   28.932   52.324   73.209
  14.371    4.712   62.249   10.102
  10.488    6.659   61.559   14.847
  21.900    8.914   70.156   16.809
  17.509    4.914   62.941   10.508
   9.628   10.171   61.772   22.489
 -10.106   20.487   76.912   36.277
 -17.395   32.652   74.116   59.369
 -31.414   59.196   44.862  175.393
   0.471   15.729   71.878   30.070
  20.500    6.244   64.117   12.858
 -23.302   26.564   56.791   61.867
   9.327    9.878   59.850   22.063
 -27.519   51.497   44.005  161.694
  23.895    9.173   65.055   18.140
  10.346   11.404   60.995   25.265
  26.103   15.242   63.646   31.427
 -16.141   27.616   74.665   50.006
  35.036   29.836   64.512   62.386
  24.206   10.659   67.937   20.321
  30.616   21.201   63.083   44.185
  -4.023   24.116   75.337   44.306
 -21.945   35.082   57.304   82.803
  12.585    8.698   59.794   19.910
  16.927    8.086   61.263   18.382
  11.480    9.531   59.382   21.493
  21.539    8.834   61.305   19.684
  10.447   15.536   62.987   34.031
  26.717   13.274   66.512   25.795
  12.554   10.865   55.753   26.162
  23.819    7.590   61.988   16.349
 -24.810   42.625   43.458  143.725
 -16.716   44.423   74.553   80.534
   0.958   40.612   77.375   72.820
  14.903   16.261   58.645   36.281
  27.568   11.220   60.679   23.620
  16.170   26.570   61.620   56.848
  29.237   20.693   63.414   40.849
  13.623   10.542   56.706   25.314
  36.039   31.748   64.658   66.342
  27.784   15.276   68.034   28.923
  20.203   10.499   56.051   25.994
  11.966   12.930   54.518   31.100
  29.900   20.430   59.551   45.245
 -11.398   53.124   73.164   99.622
  24.329   11.324   57.444   27.381
  12.638   13.237   51.286   34.097
  28.206   14.915   68.496   28.337
   7.299   40.045   73.192   73.628
  27.722   10.193   57.092   23.461
  16.327   17.924   50.952   46.162
  34.016   35.679   60.935   77.058
  38.950   64.774   51.619  174.808
  24.598   57.312   50.535  142.957
  27.885   19.537   68.963   37.696
  29.398   21.786   61.477   47.097
  30.979   14.517   59.792   30.846
  35.472   51.241   54.706  122.625
  28.726   22.297   74.807   38.872
  35.439   65.866   59.828  142.134
  36.981   69.059   54.495  161.770
  16.481   17.209   53.176   44.546
  23.724   12.342   49.919   35.095
  16.431   27.288   56.400   62.341
  34.815   18.552   65.981   36.652
  11.248   23.339   47.060   67.040
  27.832   11.799   52.097   31.828
   9.398   21.325   43.820   67.267
  32.756   14.637   54.238   35.218
  27.905   27.474   67.371   55.231
  27.305   37.471   77.485   65.680
  33.763   44.190   58.944   93.201
  35.054   25.976   66.493   50.248
  34.485   22.839   54.070   55.382
  10.282   29.330   41.780   98.233
   6.130   46.904   66.305   93.850
  28.874   43.461   73.383   81.979
  39.862   30.070   59.408   65.545
  36.326   40.177   64.068   78.754
  28.954   24.340   46.388   78.114
  34.212   20.037   50.766   55.588
  11.418   23.898   44.269   76.000
   8.356   41.430   47.416  110.855
   6.811   28.888   41.228   99.408
  41.669   24.423   50.737   64.428
  44.163   39.420   48.440  102.906
  16.183   19.916   41.483   69.846
