# Binning scheme file
# X_pix  Y_pix  binid
 -4.0000  11.0000     233
 -4.0000  12.0000     233
 -4.0000  13.0000     233
 -3.0000 -14.0000      85
 -3.0000 -13.0000      85
 -3.0000 -12.0000      85
 -3.0000 -11.0000      85
 -3.0000 -10.0000      64
 -3.0000  -9.0000      64
 -3.0000  -8.0000      60
 -3.0000  -7.0000      60
 -3.0000  -6.0000      36
 -3.0000  -5.0000      21
 -3.0000  -4.0000      14
 -3.0000  -3.0000      11
 -3.0000  -2.0000       9
 -3.0000  -1.0000      13
 -3.0000   0.0000      24
 -3.0000   1.0000      49
 -3.0000   2.0000      93
 -3.0000   3.0000     106
 -3.0000   4.0000     121
 -3.0000   5.0000     136
 -3.0000   6.0000     176
 -3.0000   7.0000     196
 -3.0000   8.0000     216
 -3.0000   9.0000     216
 -3.0000  10.0000     233
 -3.0000  11.0000     233
 -3.0000  12.0000     233
 -3.0000  13.0000     233
 -3.0000  14.0000     233
 -2.0000 -14.0000      85
 -2.0000 -13.0000      85
 -2.0000 -12.0000      85
 -2.0000 -11.0000      85
 -2.0000 -10.0000      86
 -2.0000  -9.0000      86
 -2.0000  -8.0000      62
 -2.0000  -7.0000      62
 -2.0000  -6.0000      40
 -2.0000  -5.0000      18
 -2.0000  -4.0000      12
 -2.0000  -3.0000       7
 -2.0000  -2.0000       4
 -2.0000  -1.0000       5
 -2.0000   0.0000      23
 -2.0000   1.0000      51
 -2.0000   2.0000     104
 -2.0000   3.0000     113
 -2.0000   4.0000     127
 -2.0000   5.0000     158
 -2.0000   6.0000     180
 -2.0000   7.0000     199
 -2.0000   8.0000     199
 -2.0000   9.0000     221
 -2.0000  10.0000     221
 -2.0000  11.0000     233
 -2.0000  12.0000     233
 -2.0000  13.0000     233
 -2.0000  14.0000     233
 -1.0000 -14.0000      85
 -1.0000 -13.0000      85
 -1.0000 -12.0000      85
 -1.0000 -11.0000      86
 -1.0000 -10.0000      86
 -1.0000  -9.0000      86
 -1.0000  -8.0000      66
 -1.0000  -7.0000      66
 -1.0000  -6.0000      63
 -1.0000  -5.0000      19
 -1.0000  -4.0000      10
 -1.0000  -3.0000       6
 -1.0000  -2.0000       2
 -1.0000  -1.0000       1
 -1.0000   0.0000      25
 -1.0000   1.0000      96
 -1.0000   2.0000     108
 -1.0000   3.0000     123
 -1.0000   4.0000     135
 -1.0000   5.0000     161
 -1.0000   6.0000     182
 -1.0000   7.0000     203
 -1.0000   8.0000     221
 -1.0000   9.0000     221
 -1.0000  10.0000     221
 -1.0000  11.0000     252
 -1.0000  12.0000     252
 -1.0000  13.0000     252
 -1.0000  14.0000     252
  0.0000 -14.0000     143
  0.0000 -13.0000     143
  0.0000 -12.0000     143
  0.0000 -11.0000     143
  0.0000 -10.0000      86
  0.0000  -9.0000      88
  0.0000  -8.0000      88
  0.0000  -7.0000      87
  0.0000  -6.0000      67
  0.0000  -5.0000      65
  0.0000  -4.0000      15
  0.0000  -3.0000       8
  0.0000  -2.0000       3
  0.0000  -1.0000       0
  0.0000   0.0000      97
  0.0000   1.0000     109
  0.0000   2.0000     120
  0.0000   3.0000     133
  0.0000   4.0000     156
  0.0000   5.0000     172
  0.0000   6.0000     192
  0.0000   7.0000     211
  0.0000   8.0000     225
  0.0000   9.0000     225
  0.0000  10.0000     225
  0.0000  11.0000     252
  0.0000  12.0000     252
  0.0000  13.0000     252
  0.0000  14.0000     252
  1.0000 -13.0000     143
  1.0000 -12.0000     143
  1.0000 -11.0000     143
  1.0000 -10.0000     143
  1.0000  -9.0000      88
  1.0000  -8.0000      88
  1.0000  -7.0000      94
  1.0000  -6.0000      91
  1.0000  -5.0000      89
  1.0000  -4.0000      90
  1.0000  -3.0000      92
  1.0000  -2.0000      95
  1.0000  -1.0000     107
  1.0000   0.0000     115
  1.0000   1.0000     124
  1.0000   2.0000     134
  1.0000   3.0000     152
  1.0000   4.0000     163
  1.0000   5.0000     181
  1.0000   6.0000     197
  1.0000   7.0000     215
  1.0000   8.0000     229
  1.0000   9.0000     229
  1.0000  10.0000     229
  1.0000  11.0000     255
  1.0000  12.0000     252
  1.0000  13.0000     252
  1.0000  14.0000     252
  2.0000 -12.0000     143
  2.0000 -11.0000     143
  2.0000 -10.0000     144
  2.0000  -9.0000     144
  2.0000  -8.0000     144
  2.0000  -7.0000      94
  2.0000  -6.0000     126
  2.0000  -5.0000     118
  2.0000  -4.0000     116
  2.0000  -3.0000     117
  2.0000  -2.0000     119
  2.0000  -1.0000     125
  2.0000   0.0000     132
  2.0000   1.0000     138
  2.0000   2.0000     151
  2.0000   3.0000     160
  2.0000   4.0000     177
  2.0000   5.0000     193
  2.0000   6.0000     209
  2.0000   7.0000     223
  2.0000   8.0000     234
  2.0000   9.0000     234
  2.0000  10.0000     234
  2.0000  11.0000     255
  2.0000  12.0000     255
  2.0000  13.0000     255
  3.0000 -12.0000     143
  3.0000 -11.0000     143
  3.0000 -10.0000     144
  3.0000  -9.0000     144
  3.0000  -8.0000     144
  3.0000  -7.0000     146
  3.0000  -6.0000     145
  3.0000  -5.0000     141
  3.0000  -4.0000     139
  3.0000  -3.0000     137
  3.0000  -2.0000     140
  3.0000  -1.0000     142
  3.0000   0.0000     147
  3.0000   1.0000     155
  3.0000   2.0000     162
  3.0000   3.0000     174
  3.0000   4.0000     189
  3.0000   5.0000     202
  3.0000   6.0000     219
  3.0000   7.0000     230
  3.0000   8.0000     230
  3.0000   9.0000     234
  3.0000  10.0000     234
  3.0000  11.0000     255
  3.0000  12.0000     255
  3.0000  13.0000     255
  4.0000 -12.0000     166
  4.0000 -11.0000     166
  4.0000 -10.0000     166
  4.0000  -9.0000     166
  4.0000  -8.0000     146
  4.0000  -7.0000     146
  4.0000  -6.0000     154
  4.0000  -5.0000     150
  4.0000  -4.0000     148
  4.0000  -3.0000     149
  4.0000  -2.0000     153
  4.0000  -1.0000     157
  4.0000   0.0000     159
  4.0000   1.0000     170
  4.0000   2.0000     179
  4.0000   3.0000     190
  4.0000   4.0000     201
  4.0000   5.0000     217
  4.0000   6.0000     227
  4.0000   7.0000     227
  4.0000   8.0000     250
  4.0000   9.0000     250
  4.0000  10.0000     260
  4.0000  11.0000     255
  5.0000 -11.0000     166
  5.0000 -10.0000     166
  5.0000  -9.0000     166
  5.0000  -8.0000     169
  5.0000  -7.0000     169
  5.0000  -6.0000     154
  5.0000  -5.0000     167
  5.0000  -4.0000     164
  5.0000  -3.0000     165
  5.0000  -2.0000     168
  5.0000  -1.0000     171
  5.0000   0.0000     178
  5.0000   1.0000     184
  5.0000   2.0000     194
  5.0000   3.0000     204
  5.0000   4.0000     220
  5.0000   5.0000     228
  5.0000   6.0000     240
  5.0000   7.0000     240
  5.0000   8.0000     250
  5.0000   9.0000     250
  5.0000  10.0000     260
  5.0000  11.0000     260
  6.0000 -10.0000     166
  6.0000  -9.0000     166
  6.0000  -8.0000     169
  6.0000  -7.0000     169
  6.0000  -6.0000     188
  6.0000  -5.0000     188
  6.0000  -4.0000     186
  6.0000  -3.0000     185
  6.0000  -2.0000     187
  6.0000  -1.0000     191
  6.0000   0.0000     195
  6.0000   1.0000     198
  6.0000   2.0000     212
  6.0000   3.0000     224
  6.0000   4.0000     232
  6.0000   5.0000     242
  6.0000   6.0000     242
  6.0000   7.0000     254
  6.0000   8.0000     254
  6.0000   9.0000     254
  6.0000  10.0000     260
  6.0000  11.0000     260
  7.0000 -10.0000     166
  7.0000  -9.0000     235
  7.0000  -8.0000     235
  7.0000  -7.0000     235
  7.0000  -6.0000     188
  7.0000  -5.0000     206
  7.0000  -4.0000     206
  7.0000  -3.0000     205
  7.0000  -2.0000     207
  7.0000  -1.0000     208
  7.0000   0.0000     222
  7.0000   1.0000     226
  7.0000   2.0000     231
  7.0000   3.0000     238
  7.0000   4.0000     244
  7.0000   5.0000     249
  7.0000   6.0000     249
  7.0000   7.0000     254
  7.0000   8.0000     254
  7.0000   9.0000     254
  7.0000  10.0000     260
  8.0000 -10.0000     235
  8.0000  -9.0000     235
  8.0000  -8.0000     235
  8.0000  -7.0000     235
  8.0000  -6.0000     241
  8.0000  -5.0000     241
  8.0000  -4.0000     241
  8.0000  -3.0000     236
  8.0000  -2.0000     236
  8.0000  -1.0000     237
  8.0000   0.0000     239
  8.0000   1.0000     243
  8.0000   2.0000     245
  8.0000   3.0000     246
  8.0000   4.0000     246
  8.0000   5.0000     256
  8.0000   6.0000     256
  8.0000   7.0000     261
  8.0000   8.0000     261
  8.0000   9.0000     254
  9.0000  -9.0000     235
  9.0000  -8.0000     235
  9.0000  -7.0000     259
  9.0000  -6.0000     259
  9.0000  -5.0000     241
  9.0000  -4.0000     241
  9.0000  -3.0000     236
  9.0000  -2.0000     236
  9.0000  -1.0000     248
  9.0000   0.0000     248
  9.0000   1.0000     251
  9.0000   2.0000     251
  9.0000   3.0000     257
  9.0000   4.0000     257
  9.0000   5.0000     256
  9.0000   6.0000     256
  9.0000   7.0000     261
  9.0000   8.0000     261
 10.0000  -8.0000     259
 10.0000  -7.0000     259
 10.0000  -6.0000     259
 10.0000  -5.0000     241
 10.0000  -4.0000     247
 10.0000  -3.0000     247
 10.0000  -2.0000     247
