# Binning scheme file
# X_pix  Y_pix  binid
  0.0000   5.0000     136
  0.0000   6.0000     160
  0.0000   7.0000     193
  0.0000   8.0000     223
  0.0000   9.0000     262
  0.0000  10.0000     262
  0.0000  11.0000     262
  1.0000 -11.0000     236
  1.0000 -10.0000     236
  1.0000  -9.0000     236
  1.0000  -8.0000     216
  1.0000  -7.0000     188
  1.0000  -6.0000     172
  1.0000  -5.0000     157
  1.0000  -4.0000     150
  1.0000  -3.0000     138
  1.0000  -2.0000     127
  1.0000  -1.0000     123
  1.0000   0.0000     121
  1.0000   1.0000     122
  1.0000   2.0000     125
  1.0000   3.0000     134
  1.0000   4.0000     140
  1.0000   5.0000     159
  1.0000   6.0000     184
  1.0000   7.0000     202
  1.0000   8.0000     244
  1.0000   9.0000     265
  1.0000  10.0000     265
  1.0000  11.0000     265
  2.0000  -9.0000     227
  2.0000  -8.0000     227
  2.0000  -7.0000     212
  2.0000  -6.0000     186
  2.0000  -5.0000     174
  2.0000  -4.0000     164
  2.0000  -3.0000     154
  2.0000  -2.0000     151
  2.0000  -1.0000     143
  2.0000   0.0000     141
  2.0000   1.0000     142
  2.0000   2.0000     144
  2.0000   3.0000     155
  2.0000   4.0000     165
  2.0000   5.0000     183
  2.0000   6.0000     200
  2.0000   7.0000     225
  2.0000   8.0000     256
  2.0000   9.0000     264
  2.0000  10.0000     265
  3.0000  -9.0000     227
  3.0000  -8.0000     227
  3.0000  -7.0000     222
  3.0000  -6.0000     211
  3.0000  -5.0000     190
  3.0000  -4.0000     179
  3.0000  -3.0000     171
  3.0000  -2.0000     166
  3.0000  -1.0000     162
  3.0000   0.0000     161
  3.0000   1.0000     163
  3.0000   2.0000     167
  3.0000   3.0000     176
  3.0000   4.0000     189
  3.0000   5.0000     201
  3.0000   6.0000     221
  3.0000   7.0000     248
  3.0000   8.0000     256
  3.0000   9.0000     264
  3.0000  10.0000     264
  4.0000  -8.0000     237
  4.0000  -7.0000     237
  4.0000  -6.0000     226
  4.0000  -5.0000     214
  4.0000  -4.0000     204
  4.0000  -3.0000     192
  4.0000  -2.0000     187
  4.0000  -1.0000     182
  4.0000   0.0000     181
  4.0000   1.0000     185
  4.0000   2.0000     191
  4.0000   3.0000     199
  4.0000   4.0000     208
  4.0000   5.0000     224
  4.0000   6.0000     242
  4.0000   7.0000     260
  4.0000   8.0000     276
  4.0000   9.0000     276
  5.0000  -9.0000     249
  5.0000  -8.0000     249
  5.0000  -7.0000     238
  5.0000  -6.0000     238
  5.0000  -5.0000     232
  5.0000  -4.0000     220
  5.0000  -3.0000     217
  5.0000  -2.0000     210
  5.0000  -1.0000     207
  5.0000   0.0000     206
  5.0000   1.0000     209
  5.0000   2.0000     215
  5.0000   3.0000     219
  5.0000   4.0000     233
  5.0000   5.0000     245
  5.0000   6.0000     259
  5.0000   7.0000     274
  5.0000   8.0000     276
  6.0000  -9.0000     249
  6.0000  -7.0000     253
  6.0000  -6.0000     253
  6.0000  -5.0000     241
  6.0000  -4.0000     239
  6.0000  -3.0000     234
  6.0000  -2.0000     230
  6.0000  -1.0000     228
  6.0000   0.0000     229
  6.0000   1.0000     231
  6.0000   2.0000     235
  6.0000   3.0000     240
  6.0000   4.0000     252
  6.0000   5.0000     263
  6.0000   6.0000     275
  6.0000   7.0000     281
  7.0000  -7.0000     280
