# v        v_err    sigma    sigma_err
 -13.306    2.208  124.219    2.473
 -46.744    4.602  121.645    5.140
-117.739    4.155  101.463    4.912
 -94.288    4.818  114.157    5.347
 -22.057    1.498  136.367    1.550
 -29.539    5.103  134.822    5.521
 -16.462    2.456  124.792    2.799
-103.358    5.014  103.639    5.802
 -98.485    5.251   98.164    5.899
-133.118    3.656   69.330    4.466
-122.095    3.719   76.296    4.462
-136.804    3.428   76.994    4.213
-111.902    4.252   85.544    4.977
-144.605    3.248   91.741    3.827
 -78.752    4.932  100.103    5.233
-134.175    3.990   81.197    4.767
-138.829    3.781   89.465    4.548
-120.262    2.396  111.002    2.742
 -70.906    5.702  129.764    6.279
 -66.700    5.076  101.815    5.769
 -23.191    3.847  119.191    4.429
 -53.488    5.439  129.758    5.961
 -76.047    4.866   93.575    5.568
 -22.388    3.783  126.173    4.183
 -29.882    4.426  112.985    4.847
 -99.140    5.087   92.918    5.889
 -40.122    5.713  133.069    6.267
-124.755    4.420   97.880    4.995
-109.021    4.682   96.204    5.440
 -85.010    4.992   83.209    5.634
 -79.581    5.682  134.171    6.339
-141.374    3.128   72.947    3.786
-115.072    4.322   81.375    5.099
 -70.602    5.202   98.442    5.612
 -37.950    4.947  127.817    5.364
 -15.962    2.984  125.427    3.401
-141.144    4.088   78.456    4.966
-139.850    4.486   92.392    5.212
-102.952    5.505   94.119    6.186
 -85.399    6.448  115.707    7.031
-146.008    3.054   77.921    3.640
-137.193    2.757   99.340    3.237
-126.622    4.279  105.963    4.581
-140.845    3.569   68.279    4.435
 -65.174    6.086  116.169    6.812
 -67.481    5.734  135.792    6.205
-108.035    5.588  101.452    6.298
 -68.758    4.691   83.476    5.429
 -71.161    5.091   87.060    5.814
-116.599    4.476   91.469    5.177
 -58.542    6.199  147.421    6.585
 -74.722    5.207   98.130    5.913
 -18.814    4.483  121.141    5.035
 -20.276    4.072  125.519    4.538
-147.340    3.379   85.051    3.920
-133.456    3.861   81.173    4.701
 -24.468    4.356   98.794    5.146
 -38.761    4.977  108.411    5.516
-105.565    6.175  105.057    7.218
-121.077    4.596   83.785    5.347
 -61.302    5.755  113.836    6.480
-110.590    5.513   97.524    6.129
 -82.501    5.270   97.872    5.980
-131.111    2.474   96.606    2.911
 -98.623    2.235  116.957    2.315
-144.927    3.532   74.967    4.389
-107.798    2.321  115.129    2.349
 -88.409    2.075  118.766    2.127
-133.891    4.120   85.199    4.937
-137.125    4.179   81.505    4.915
-111.112    5.241   96.786    5.885
-120.360    5.184  112.962    5.842
-146.396    3.039  100.593    3.414
-150.201    3.341   78.397    4.012
-110.479    2.426  112.004    2.526
-144.154    4.040   78.177    4.774
 -83.654    1.957  127.096    2.000
-132.748    2.630   96.301    3.118
-150.066    3.382   72.288    4.124
-123.616    4.401   84.999    5.414
-119.538    2.470  109.879    2.760
-145.295    3.920   87.128    4.586
 -74.664    4.995   88.769    5.890
-100.701    5.974  129.316    6.203
 -48.334    1.784  134.553    1.827
-118.111    5.104   90.186    6.067
 -84.196    5.234   96.496    6.049
-106.157    5.023   82.981    5.713
 -49.844    5.414   94.702    6.254
 -61.801    5.490   86.697    6.362
 -45.724    5.115   94.386    5.761
 -41.258    4.805  120.624    5.230
 -55.956    5.997  116.808    6.675
 -76.500    5.791   98.206    6.640
 -15.407    3.704  132.477    4.039
 -53.830    5.379  120.815    5.904
 -14.320    1.979  125.225    2.021
 -11.459    1.908  136.392    2.029
  -6.084    2.140  121.938    2.374
 -31.599    1.715  141.620    1.743
 -19.335    4.463  124.585    5.035
  -8.776    4.444  118.825    4.966
 -11.941    1.780  139.095    1.830
  -6.554    2.404  117.317    2.751
 -60.752    5.960  123.100    6.732
 -18.327    4.978  110.858    5.629
 -55.520    5.985  128.706    6.615
 -14.681    3.797  118.423    4.255
 -55.281    1.874  130.802    1.991
 -23.045    1.561  137.473    1.595
 -68.390    1.955  135.273    1.985
  -2.768    2.832  123.207    3.188
 -10.793    1.586  134.142    1.668
-124.830    6.577  107.672    7.333
 -72.548    5.770   99.987    6.610
-149.743    3.905   95.561    4.439
 -93.297    5.655   95.234    6.544
 -35.811    5.131   98.282    6.018
 -87.283    5.369   87.600    6.114
 -83.502    5.988   97.983    6.970
-135.118    3.913   69.977    4.751
 -40.041    5.771  106.183    6.656
-133.034    4.377   89.589    5.239
 -56.073    6.141  105.808    7.096
-140.646    4.519   88.737    5.198
-152.592    3.518   92.639    4.114
-150.040    3.599   85.862    4.249
-127.079    2.489  102.722    2.882
-119.785    4.187   85.146    5.105
-150.317    4.196   91.192    4.742
-145.561    2.984   99.105    3.391
-109.637    5.540   84.434    6.303
 -45.627    5.087   93.478    5.756
 -69.433    6.031   96.371    6.764
 -53.948    5.336   96.773    6.259
-118.364    5.068   98.156    5.900
-141.115    3.823   79.924    4.471
-151.979    3.701   78.837    4.573
 -51.326    5.492  100.811    6.389
 -37.929    4.558   91.908    5.211
 -93.397    5.614   80.924    6.582
 -83.724    7.014  115.404    8.042
  -5.422    4.276  108.057    4.911
 -24.517    4.752  118.112    5.319
-130.602    5.476  118.985    6.242
 -78.716    5.944  103.898    6.678
 -64.538    5.834   98.947    6.763
 -55.930    5.150   89.699    5.967
 -38.565    4.991  104.053    5.552
 -38.198    5.562  128.892    5.985
 -12.959    4.528  127.473    5.004
  -7.471    3.305  118.609    3.771
-134.181    4.208   86.318    5.163
-139.743    4.164   77.911    5.134
-123.112    5.822   82.712    6.814
-154.158    4.116   99.475    4.726
 -63.361    5.185   87.529    5.961
-133.985    4.508   79.350    5.539
-137.375    4.503   87.233    5.182
 -78.470    6.405  107.521    7.063
 -48.818    6.075  111.160    7.156
 -40.861    4.854   84.286    5.889
 -95.986    7.256  117.449    7.907
 -57.604    5.382  100.077    6.081
 -82.374    6.271   95.276    6.830
 -26.485    4.976  101.727    5.743
 -36.769    4.901   85.887    5.804
-135.580    4.900   85.352    5.791
 -60.775    5.639   94.592    6.514
-137.927    3.869   76.305    4.751
