# MGE file
# surface_density  width  axis_ratio
# [Lsun/pc^2]   [arcsec]
       8.596       0.237      0.6500
      49.692       0.839      0.8490
       24.96       2.759      0.4510
      10.876       2.845      1.0000
        0.95       9.036      0.5210
        0.05      10.871      0.0500
       1.312      14.309      0.6380
       0.225      22.831      0.5060
       0.362      22.831      0.5520
