# v        v_err    sigma    sigma_err
  29.324    3.597  211.007    3.624
  46.414    2.960  226.408    2.955
  25.006    4.765  242.470    4.616
 -28.757    4.438  223.762    4.394
  -7.345    4.516  226.265    4.431
  32.458    2.786  250.517    2.690
  21.562    4.421  239.172    4.278
  47.326    3.290  247.939    3.111
 -15.405    4.251  221.399    4.323
 -14.183    4.735  235.401    4.619
 -49.971    4.792  247.170    4.587
 -45.909    4.710  224.517    4.696
 -45.437    4.416  234.801    4.344
 -21.556    4.482  232.007    4.426
 -63.223    4.499  247.751    4.361
  -7.051    4.812  233.065    4.735
 -41.587    4.796  237.898    4.668
 -49.456    4.532  243.159    4.276
 -73.221    4.470  237.764    4.336
  22.056    4.637  239.475    4.579
   1.094    4.596  232.097    4.471
  38.332    4.245  240.204    4.097
  17.176    4.324  232.284    4.178
  -1.046    4.780  234.522    4.658
  44.920    3.579  235.568    3.550
  39.649    4.442  237.004    4.320
 -15.150    4.927  251.165    4.835
  26.104    4.823  236.194    4.619
 -30.481    5.082  247.783    4.939
 -25.884    4.641  233.575    4.594
  -8.395    4.813  226.124    4.802
  -4.877    4.805  231.413    4.737
 -56.368    4.441  234.003    4.379
 -20.951    4.972  245.360    4.897
   5.055    4.965  230.324    4.915
  33.173    4.562  238.772    4.383
  43.832    3.521  238.094    3.451
 -48.331    4.849  229.398    4.779
 -50.372    4.464  219.900    4.433
 -19.174    4.775  232.484    4.704
  -8.620    5.088  238.879    4.968
 -73.599    4.558  239.943    4.447
 -65.110    4.697  238.353    4.531
 -35.933    4.725  229.466    4.577
 -53.850    4.670  236.557    4.542
  16.105    4.694  243.521    4.526
  17.550    4.610  240.426    4.450
 -25.513    4.420  224.359    4.404
   7.639    4.629  232.195    4.527
  -1.522    4.849  230.753    4.777
 -33.615    5.008  234.055    4.972
  14.135    4.496  231.175    4.402
   2.600    4.729  228.571    4.712
  40.464    4.161  222.643    4.103
  43.195    3.939  237.404    3.900
 -57.368    4.781  253.994    4.566
 -56.528    4.814  240.941    4.651
  30.403    4.531  238.660    4.410
  14.235    4.864  241.732    4.687
 -12.540    4.790  221.755    4.713
 -29.921    4.652  228.632    4.602
   2.665    5.136  243.777    4.952
 -16.517    5.067  234.024    5.028
  -5.802    4.979  234.292    4.980
 -70.027    4.503  233.722    4.360
 -69.691    3.750  245.411    3.632
 -63.204    4.699  244.821    4.529
 -70.944    3.825  247.261    3.693
 -69.016    3.704  247.487    3.630
 -50.510    5.693  243.602    5.667
 -55.967    5.090  225.448    5.100
 -34.417    4.708  225.438    4.619
 -43.607    5.047  225.297    5.036
 -62.400    4.661  234.439    4.474
 -64.161    4.861  249.982    4.712
 -72.702    3.882  237.932    3.813
 -62.700    5.092  230.020    4.990
 -64.010    3.537  243.257    3.510
 -71.703    4.795  243.431    4.691
 -64.734    4.553  237.309    4.409
 -36.662    5.096  226.150    5.080
 -78.220    4.294  240.334    4.205
 -46.510    4.972  232.626    4.858
 -13.398    5.045  255.584    4.543
 -23.428    4.781  218.023    4.751
 -20.599    3.036  245.693    2.986
 -36.962    5.489  244.108    5.411
 -12.659    4.958  224.442    4.934
 -28.640    5.076  234.903    4.979
  23.009    4.987  230.685    4.860
   9.724    4.818  224.372    4.743
  25.511    4.853  230.039    4.761
  23.603    4.623  243.122    4.416
  -1.349    5.129  230.480    5.092
 -12.660    4.745  226.355    4.732
  45.274    3.454  212.914    3.484
  30.191    4.722  225.080    4.658
  55.379    3.425  251.362    3.348
  50.133    3.430  254.839    3.208
  50.596    3.276  237.813    3.247
  -3.331    3.021  253.922    2.950
  34.908    4.634  235.201    4.509
  41.931    4.188  229.867    4.104
  45.857    3.226  238.633    3.193
  55.825    3.332  232.493    3.294
  -1.505    5.314  234.493    5.234
  30.650    4.586  239.331    4.416
  18.706    5.436  241.880    5.120
  47.123    3.789  225.196    3.794
 -41.048    3.426  243.369    3.343
  20.652    2.815  251.529    2.757
 -60.552    3.412  238.629    3.382
  50.076    3.625  236.916    3.564
  43.522    2.988  221.268    2.973
 -34.942    5.391  237.119    5.379
  -4.999    4.941  220.486    4.849
 -72.232    4.992  235.576    4.899
 -17.772    4.767  214.000    4.942
  29.419    4.846  236.507    4.701
 -15.842    4.948  216.095    4.896
 -14.540    4.810  224.544    4.744
 -50.125    5.148  231.874    5.037
  14.617    4.624  226.891    4.509
 -45.310    5.090  235.349    4.947
   7.339    5.032  254.485    4.717
 -50.134    4.951  221.762    4.848
 -74.372    4.962  250.304    4.715
 -73.969    4.829  236.896    4.680
 -75.556    4.284  234.626    4.180
 -34.348    5.044  229.950    4.833
 -41.548    5.146  226.132    5.047
 -63.693    4.949  249.017    4.894
 -35.204    5.339  229.018    5.266
  19.129    4.413  224.858    4.403
  -0.811    5.149  228.956    5.086
   3.890    5.145  235.483    5.041
 -32.951    4.832  221.707    4.741
 -65.791    5.224  239.960    5.075
 -59.500    5.032  237.496    4.774
   8.410    5.005  231.984    4.972
  19.748    4.452  232.208    4.317
 -24.046    5.035  220.133    4.960
 -30.045    4.901  224.246    4.867
  48.595    4.423  239.327    4.291
  35.180    4.653  239.712    4.439
 -38.610    4.589  208.876    4.587
 -28.417    5.049  216.201    5.224
  -9.960    5.096  234.091    4.798
  14.114    4.845  221.431    4.816
  32.536    4.686  227.859    4.545
  30.604    4.932  235.759    4.806
  47.905    3.915  215.994    3.926
  44.145    3.635  238.110    3.615
